run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940629810748,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,50.0
nature_2026_05,1,1,0.1,720575940629812346,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940629855787,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940629888530,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),140.0,130.0
nature_2026_05,1,1,0.1,720575940630034231,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940630233916,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),180.0,220.0
nature_2026_05,1,1,0.1,720575940630488540,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940630579574,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,70.0
nature_2026_05,1,1,0.1,720575940630664556,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,40.0
nature_2026_05,1,1,0.1,720575940630665210,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940630667372,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940630674038,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,30.0
nature_2026_05,1,1,0.1,720575940630683385,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,40.0
nature_2026_05,1,1,0.1,720575940630771449,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940630797113,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),190.0,190.0
